Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-01-25,4755.09,4920.0,4712.1,4890.0,3036.824,14633062.3296,4818.54145303
2014-01-24,4943.05,4943.05,4650.0,4755.09,6817.691,32383502.8351,4749.92234689
2014-01-23,4970.99,5004.99,4925.3,4943.54,2007.638,9970587.18384,4966.32718839
2014-01-22,5000.0,5007.99,4970.99,4970.99,1620.992,8094983.76102,4993.84559641
2014-01-21,5019.99,5046.01,4955.5,4999.99,2073.102,10365802.8519,5000.14126266
2014-01-20,5099.58,5100.0,4966.66,5019.99,3437.816,17355709.3615,5048.46954039
2014-01-19,4900.0,5099.58,4883.38,5099.58,4048.574,20243394.2499,5000.12949001
2014-01-18,4877.99,4925.0,4877.99,4900.0,1765.343,8659364.28978,4905.20215606
2014-01-17,4966.11,4983.0,4830.01,4877.99,4548.998,22270357.9029,4895.66227615
2014-01-16,5126.3,5147.5,4955.0,4966.12,3536.643,17868643.2724,5052.4305881
2014-01-15,4981.0,5179.0,4958.0,5126.3,5582.899,28434206.7243,5093.08993845
2014-01-14,5001.0,5058.0,4880.0,4980.99,5848.149,29134264.4622,4981.79243761
2014-01-13,5175.0,5175.0,4747.0,5001.0,9971.861,49028812.2019,4916.71636838
2014-01-12,5430.1,5485.0,5050.0,5175.0,10383.214,54488702.8362,5247.76844975
2014-01-11,5191.02,5480.0,5191.01,5430.1,10264.146,55046171.9216,5362.95683261
2014-01-10,5031.1,5239.0,4951.72,5191.01,5541.973,27928935.0369,5039.52925013
2014-01-09,4938.51,5100.0,4803.0,5031.11,10726.229,53212208.2537,4960.94277436
2014-01-08,4718.01,5088.0,4501.0,4936.48,21133.785,102057741.179,4829.12744587
2014-01-07,5660.0,5819.0,4718.01,4718.01,23191.909,123476372.769,5324.11423178
2014-01-06,5449.96,5970.0,5400.0,5660.0,20625.446,117758386.021,5709.37404316
2014-01-05,4933.32,5573.0,4933.31,5449.96,15724.852,82729869.9223,5261.09052869
2014-01-04,4797.2,4955.0,4644.01,4933.32,7280.819,34932109.5625,4797.82694262
2014-01-03,4475.0,4850.0,4460.0,4797.0,6586.015,30942931.2273,4698.27828015
2014-01-02,4390.02,4550.0,4370.0,4475.01,2625.68,11663162.3337,4441.9587816
2014-01-01,4395.01,4435.0,4341.0,4390.0,1234.286,5417803.34558,4389.42299077
2013-12-31,4408.0,4424.99,4280.0,4395.01,1933.233,8413364.22958,4351.96597078
2013-12-30,4387.0,4455.0,4350.0,4408.0,2708.601,11928709.7554,4404.01142708
2013-12-29,4334.99,4418.87,4156.0,4386.02,3521.301,15075155.1682,4281.13222023
2013-12-28,4533.0,4537.0,4243.6,4320.99,4361.01,19121578.4224,4384.66741015
2013-12-27,4506.0,4670.0,4311.0,4530.0,11455.439,51103498.3875,4461.06852714
2013-12-26,3951.0,4659.0,3949.99,4506.0,11995.48,50655099.7927,4222.84892248
2013-12-25,3848.0,3951.0,3687.9,3951.0,5650.819,21829151.3502,3863.00664563
2013-12-24,3848.0,4001.0,3711.0,3835.0,6821.995,26419091.8558,3872.63430358
2013-12-23,3561.98,3879.99,3513.1,3845.6,7373.314,27497280.0626,3729.29730954
2013-12-22,3369.0,3787.0,3150.01,3561.98,10640.513,37652917.0173,3538.63737747
2013-12-21,3682.1,3870.0,3098.51,3369.0,15607.919,54260585.0607,3476.47787387
2013-12-20,3646.8,4130.0,3420.0,3682.1,29113.106,112183984.021,3853.3842463
2013-12-19,2734.5,3650.0,2512.01,3649.88,46559.132,145657007.733,3128.43048134
2013-12-18,3768.0,3768.99,2011.0,2752.0,93933.999,262669843.683,2796.32344496
2013-12-17,3981.0,4350.0,3251.0,3755.0,54138.352,204991100.557,3786.4303767
2013-12-16,5293.6,5300.0,3699.99,3999.0,92308.137,430687483.697,4665.75859609
2013-12-15,5251.0,5335.8,5002.98,5293.48,67692.407,347606521.144,5135.08880168
2013-12-14,5560.02,5565.0,5101.0,5250.22,49439.842,264569757.352,5351.34714532
2013-12-13,5420.01,5629.0,5400.0,5560.01,64670.052,357969246.398,5535.31712635
2013-12-12,5497.86,5648.0,5251.0,5420.01,58684.334,315827558.797,5381.80357976
2013-12-11,6056.97,6096.0,5050.0,5497.87,81804.646,460323255.397,5627.10405711
2013-12-10,5588.99,6072.0,5586.12,6059.98,79065.754,458388660.427,5797.5626265
2013-12-09,4900.79,5599.0,4872.77,5588.99,91559.97,485897901.996,5306.88140239
2013-12-08,4669.6,5047.96,4560.0,4900.8,65986.229,317797224.065,4816.11434508
2013-12-07,5149.9,5413.0,3821.13,4669.0,132168.162,619934868.315,4690.50079031
2013-12-06,6282.21,6328.99,5050.0,5149.9,74237.123,437091814.091,5887.77954247
2013-12-05,7004.51,7039.99,4521.13,6280.13,121221.637,729218964.891,6015.58420541
2013-12-04,6625.01,7050.0,6530.0,7005.01,54212.36,365668538.314,6745.11381379
2013-12-03,6441.05,6736.0,6188.8,6625.01,60632.108,394822122.876,6511.76638747
2013-12-02,6119.86,6720.0,5810.0,6446.0,75104.312,469464556.152,6250.83358931
2013-12-01,7393.43,7400.7,5717.14,6119.86,93044.484,615568211.393,6615.848516
2013-11-30,7299.15,7588.88,7230.0,7395.0,49458.408,366065983.736,7401.49144583
2013-11-29,6797.99,7499.0,6610.0,7299.7,81928.844,583001263.742,7115.94641494
2013-11-28,5813.89,6880.0,5772.0,6798.0,79798.774,506128451.156,6342.55923726
2013-11-27,5630.0,5923.0,5323.0,5813.88,71664.022,405210127.354,5654.30345724
